Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Biological Sciences--L5010,,Number Retained,0 Days,All,935
2016FA,Biological Sciences--L5010,,Ftes/Ftef,0 Days,All,18.917978208
2016FA,Biological Sciences--L5010,,Current Fill Rate,0 Days,All,0.970216606
2016FA,Biological Sciences--L5010,,Census Fill Rate,0 Days,All,0.970216606
2016FA,Biological Sciences--L5010,,Census Enrollment,0 Days,All,1075
2016FA,Biological Sciences--L5010,,Number Successful,0 Days,All,814
2016FA,Biological Sciences--L5010,,Ftef,0 Days,All,13.216
2016FA,Biological Sciences--L5010,,Ftes,0 Days,All,250.02
2016FA,Biological Sciences--L5010,,Enrollment Capacity,0 Days,All,1108
2016FA,Biological Sciences--L5010,,Count of Migrated Data,0 Days,All,33
2016FA,Biological Sciences--L5010,,Current Enrollment,0 Days,All,1075
2016FA,Business--L6006,,Wsch/Ftef,0 Days,All,507.953063885
2016FA,Business--L6006,,Success Rate,0 Days,All,0.733617021
2016FA,Business--L6006,,Sec. Count,0 Days,All,45
2016FA,Business--L6006,,Retention Rate,0 Days,All,0.868936170
2016FA,Business--L6006,,Number Retained,0 Days,All,1021
2016FA,Business--L6006,,Ftes/Ftef,0 Days,All,16.782268579
2016FA,Business--L6006,,Current Fill Rate,0 Days,All,0.821974148
2016FA,Business--L6006,,Census Fill Rate,0 Days,All,0.821974148
2016FA,Business--L6006,,Census Enrollment,0 Days,All,1399
2016FA,Business--L6006,,Number Successful,0 Days,All,862
2016FA,Business--L6006,,Ftef,0 Days,All,7.67
2016FA,Business--L6006,,Ftes,0 Days,All,128.72
2016FA,Business--L6006,,Enrollment Capacity,0 Days,All,1702
2016FA,Business--L6006,,Count of Migrated Data,0 Days,All,45
2016FA,Business--L6006,,Current Enrollment,0 Days,All,1399
2016FA,Business-B6006,,Wsch/Ftef,0 Days,All,547.5
2016FA,Business-B6006,,Success Rate,0 Days,All,0.692857143
2016FA,Business-B6006,,Sec. Count,0 Days,All,4
2016FA,Business-B6006,,Retention Rate,0 Days,All,0.835714286
2016FA,Business-B6006,,Number Retained,0 Days,All,117
