Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2018FA,Social Science--B5007,,Enrollment Capacity,0 Days,All,450
2018FA,Social Science--B5007,,Count of Migrated Data,0 Days,All,11
2018FA,Social Science--B5007,,Current Enrollment,0 Days,All,387
2018FA,Social Science--L5007,,Wsch/Ftef,0 Days,All,627.2
2018FA,Social Science--L5007,,Success Rate,0 Days,All,0.738704409
2018FA,Social Science--L5007,,Sec. Count,0 Days,All,50
2018FA,Social Science--L5007,,Retention Rate,0 Days,All,0.888949374
2018FA,Social Science--L5007,,Number Retained,0 Days,All,1633
2018FA,Social Science--L5007,,Ftes/Ftef,0 Days,All,19.544
2018FA,Social Science--L5007,,Current Fill Rate,0 Days,All,0.897087379
2018FA,Social Science--L5007,,Census Fill Rate,0 Days,All,0.897087379
2018FA,Social Science--L5007,,Census Enrollment,0 Days,All,1848
2018FA,Social Science--L5007,,Number Successful,0 Days,All,1357
2018FA,Social Science--L5007,,Ftef,0 Days,All,10
2018FA,Social Science--L5007,,Ftes,0 Days,All,195.44
2018FA,Social Science--L5007,,Enrollment Capacity,0 Days,All,2060
2018FA,Social Science--L5007,,Count of Migrated Data,0 Days,All,50
2018FA,Social Science--L5007,,Current Enrollment,0 Days,All,1848
2018FA,Vocational Technology--L6011,,Wsch/Ftef,0 Days,All,510.979521342
2018FA,Vocational Technology--L6011,,Success Rate,0 Days,All,0.699857752
2018FA,Vocational Technology--L6011,,Sec. Count,0 Days,All,70
2018FA,Vocational Technology--L6011,,Retention Rate,0 Days,All,0.869132290
2018FA,Vocational Technology--L6011,,Number Retained,0 Days,All,611
2018FA,Vocational Technology--L6011,,Ftes/Ftef,0 Days,All,15.957315569
2018FA,Vocational Technology--L6011,,Current Fill Rate,0 Days,All,0.296477931
2018FA,Vocational Technology--L6011,,Census Fill Rate,0 Days,All,0.296477931
2018FA,Vocational Technology--L6011,,Census Enrollment,0 Days,All,665
2018FA,Vocational Technology--L6011,,Number Successful,0 Days,All,492
2018FA,Vocational Technology--L6011,,Ftef,0 Days,All,8.106
2018FA,Vocational Technology--L6011,,Ftes,0 Days,All,129.35
2018FA,Vocational Technology--L6011,,Enrollment Capacity,0 Days,All,2243
2018FA,Vocational Technology--L6011,,Count of Migrated Data,0 Days,All,70
2018FA,Vocational Technology--L6011,,Current Enrollment,0 Days,All,665
2018FA,Work Experience--L7004,,Wsch/Ftef,0 Days,All,1100
2018FA,Work Experience--L7004,,Success Rate,0 Days,All,0.896103896
2018FA,Work Experience--L7004,,Sec. Count,0 Days,All,15
2018FA,Work Experience--L7004,,Retention Rate,0 Days,All,0.922077922
2018FA,Work Experience--L7004,,Number Retained,0 Days,All,71
2018FA,Work Experience--L7004,,Ftes/Ftef,0 Days,All,14.266666667
2018FA,Work Experience--L7004,,Current Fill Rate,0 Days,All,0.06
2018FA,Work Experience--L7004,,Census Fill Rate,0 Days,All,0.06
2018FA,Work Experience--L7004,,Census Enrollment,0 Days,All,36
2018FA,Work Experience--L7004,,Number Successful,0 Days,All,69
2018FA,Work Experience--L7004,,Ftef,0 Days,All,0.15
2018FA,Work Experience--L7004,,Ftes,0 Days,All,2.14
2018FA,Work Experience--L7004,,Enrollment Capacity,0 Days,All,600
2018FA,Work Experience--L7004,,Count of Migrated Data,0 Days,All,15
2018FA,Work Experience--L7004,,Current Enrollment,0 Days,All,36
2018SP,Administration of Justice-Off--L8001,,Wsch/Ftef,0 Days,All,940.868045441
2018SP,Administration of Justice-Off--L8001,,Success Rate,0 Days,All,0.918032787
2018SP,Administration of Justice-Off--L8001,,Sec. Count,0 Days,All,1
2018SP,Administration of Justice-Off--L8001,,Retention Rate,0 Days,All,0.934426230
2018SP,Administration of Justice-Off--L8001,,Number Retained,0 Days,All,57
2018SP,Administration of Justice-Off--L8001,,Ftes/Ftef,0 Days,All,32.257500728
2018SP,Administration of Justice-Off--L8001,,Current Fill Rate,0 Days,All,1.036363636
2018SP,Administration of Justice-Off--L8001,,Census Fill Rate,0 Days,All,1.036363636
2018SP,Administration of Justice-Off--L8001,,Census Enrollment,0 Days,All,57
2018SP,Administration of Justice-Off--L8001,,Number Successful,0 Days,All,56
2018SP,Administration of Justice-Off--L8001,,Ftef,0 Days,All,3.433
2018SP,Administration of Justice-Off--L8001,,Ftes,0 Days,All,110.74
2018SP,Administration of Justice-Off--L8001,,Enrollment Capacity,0 Days,All,55
2018SP,Administration of Justice-Off--L8001,,Count of Migrated Data,0 Days,All,1
2018SP,Administration of Justice-Off--L8001,,Current Enrollment,0 Days,All,57
2018SP,Allied Health--L6002,,Wsch/Ftef,0 Days,All,553.651938683
2018SP,Allied Health--L6002,,Success Rate,0 Days,All,0.787878788
2018SP,Allied Health--L6002,,Sec. Count,0 Days,All,13
2018SP,Allied Health--L6002,,Retention Rate,0 Days,All,0.887052342
2018SP,Allied Health--L6002,,Number Retained,0 Days,All,322
2018SP,Allied Health--L6002,,Ftes/Ftef,0 Days,All,18.467087466
2018SP,Allied Health--L6002,,Current Fill Rate,0 Days,All,0.797235023
2018SP,Allied Health--L6002,,Census Fill Rate,0 Days,All,0.797235023
2018SP,Allied Health--L6002,,Census Enrollment,0 Days,All,346
2018SP,Allied Health--L6002,,Number Successful,0 Days,All,286
2018SP,Allied Health--L6002,,Ftef,0 Days,All,2.218
2018SP,Allied Health--L6002,,Ftes,0 Days,All,40.96
2018SP,Allied Health--L6002,,Enrollment Capacity,0 Days,All,434
2018SP,Allied Health--L6002,,Count of Migrated Data,0 Days,All,13
2018SP,Allied Health--L6002,,Current Enrollment,0 Days,All,346
2018SP,Art--B5002,,Wsch/Ftef,0 Days,All,521.972132905
2018SP,Art--B5002,,Success Rate,0 Days,All,0.765151515
2018SP,Art--B5002,,Sec. Count,0 Days,All,4
2018SP,Art--B5002,,Retention Rate,0 Days,All,0.825757576
2018SP,Art--B5002,,Number Retained,0 Days,All,109
2018SP,Art--B5002,,Ftes/Ftef,0 Days,All,17.406216506
2018SP,Art--B5002,,Current Fill Rate,0 Days,All,0.864197531
2018SP,Art--B5002,,Census Fill Rate,0 Days,All,0.864197531
2018SP,Art--B5002,,Census Enrollment,0 Days,All,140
2018SP,Art--B5002,,Number Successful,0 Days,All,101
2018SP,Art--B5002,,Ftef,0 Days,All,0.933
2018SP,Art--B5002,,Ftes,0 Days,All,16.24
2018SP,Art--B5002,,Enrollment Capacity,0 Days,All,162
2018SP,Art--B5002,,Count of Migrated Data,0 Days,All,4
2018SP,Art--B5002,,Current Enrollment,0 Days,All,140
2018SP,Art--L5002,,Wsch/Ftef,0 Days,All,492.785308264
2018SP,Art--L5002,,Success Rate,0 Days,All,0.784931507
2018SP,Art--L5002,,Sec. Count,0 Days,All,32
2018SP,Art--L5002,,Retention Rate,0 Days,All,0.897260274
2018SP,Art--L5002,,Number Retained,0 Days,All,655
2018SP,Art--L5002,,Ftes/Ftef,0 Days,All,16.421804402
2018SP,Art--L5002,,Current Fill Rate,0 Days,All,0.681481481
2018SP,Art--L5002,,Census Fill Rate,0 Days,All,0.681481481
2018SP,Art--L5002,,Census Enrollment,0 Days,All,736
2018SP,Art--L5002,,Number Successful,0 Days,All,573
2018SP,Art--L5002,,Ftef,0 Days,All,6.861
2018SP,Art--L5002,,Ftes,0 Days,All,112.67
2018SP,Art--L5002,,Enrollment Capacity,0 Days,All,1080
2018SP,Art--L5002,,Count of Migrated Data,0 Days,All,32
2018SP,Art--L5002,,Current Enrollment,0 Days,All,736
2018SP,Behavioral Science--B5005,,Wsch/Ftef,0 Days,All,596.666666667
2018SP,Behavioral Science--B5005,,Success Rate,0 Days,All,0.831041257
2018SP,Behavioral Science--B5005,,Sec. Count,0 Days,All,12
2018SP,Behavioral Science--B5005,,Retention Rate,0 Days,All,0.891944990
2018SP,Behavioral Science--B5005,,Number Retained,0 Days,All,454
2018SP,Behavioral Science--B5005,,Ftes/Ftef,0 Days,All,19.8875
2018SP,Behavioral Science--B5005,,Current Fill Rate,0 Days,All,0.861111111
2018SP,Behavioral Science--B5005,,Census Fill Rate,0 Days,All,0.861111111
2018SP,Behavioral Science--B5005,,Census Enrollment,0 Days,All,465
2018SP,Behavioral Science--B5005,,Number Successful,0 Days,All,423
2018SP,Behavioral Science--B5005,,Ftef,0 Days,All,2.4
2018SP,Behavioral Science--B5005,,Ftes,0 Days,All,47.73
2018SP,Behavioral Science--B5005,,Enrollment Capacity,0 Days,All,540
2018SP,Behavioral Science--B5005,,Count of Migrated Data,0 Days,All,12
2018SP,Behavioral Science--B5005,,Current Enrollment,0 Days,All,465
2018SP,Behavioral Science--L5005,,Wsch/Ftef,0 Days,All,646.034482759
2018SP,Behavioral Science--L5005,,Success Rate,0 Days,All,0.643478261
2018SP,Behavioral Science--L5005,,Sec. Count,0 Days,All,29
2018SP,Behavioral Science--L5005,,Retention Rate,0 Days,All,0.845059289
2018SP,Behavioral Science--L5005,,Number Retained,0 Days,All,1069
2018SP,Behavioral Science--L5005,,Ftes/Ftef,0 Days,All,21.522413793
2018SP,Behavioral Science--L5005,,Current Fill Rate,0 Days,All,0.938996139
2018SP,Behavioral Science--L5005,,Census Fill Rate,0 Days,All,0.938996139
2018SP,Behavioral Science--L5005,,Census Enrollment,0 Days,All,1216
2018SP,Behavioral Science--L5005,,Number Successful,0 Days,All,814
2018SP,Behavioral Science--L5005,,Ftef,0 Days,All,5.8
2018SP,Behavioral Science--L5005,,Ftes,0 Days,All,124.83
2018SP,Behavioral Science--L5005,,Enrollment Capacity,0 Days,All,1295
2018SP,Behavioral Science--L5005,,Count of Migrated Data,0 Days,All,29
2018SP,Behavioral Science--L5005,,Current Enrollment,0 Days,All,1216
2018SP,Biological Science--B5010,,Wsch/Ftef,0 Days,All,570
2018SP,Biological Science--B5010,,Success Rate,0 Days,All,0.769811321
2018SP,Biological Science--B5010,,Sec. Count,0 Days,All,7
2018SP,Biological Science--B5010,,Retention Rate,0 Days,All,0.894339623
2018SP,Biological Science--B5010,,Number Retained,0 Days,All,237
2018SP,Biological Science--B5010,,Ftes/Ftef,0 Days,All,19.0125
2018SP,Biological Science--B5010,,Current Fill Rate,0 Days,All,0.953488372
2018SP,Biological Science--B5010,,Census Fill Rate,0 Days,All,0.953488372
2018SP,Biological Science--B5010,,Census Enrollment,0 Days,All,246
2018SP,Biological Science--B5010,,Number Successful,0 Days,All,204
2018SP,Biological Science--B5010,,Ftef,0 Days,All,2.4
2018SP,Biological Science--B5010,,Ftes,0 Days,All,45.63
2018SP,Biological Science--B5010,,Enrollment Capacity,0 Days,All,258
2018SP,Biological Science--B5010,,Count of Migrated Data,0 Days,All,7
2018SP,Biological Science--B5010,,Current Enrollment,0 Days,All,246
2018SP,Biological Sciences--L5010,,Wsch/Ftef,0 Days,All,569.671827543
2018SP,Biological Sciences--L5010,,Success Rate,0 Days,All,0.769747899
2018SP,Biological Sciences--L5010,,Sec. Count,0 Days,All,34
2018SP,Biological Sciences--L5010,,Retention Rate,0 Days,All,0.857142857
2018SP,Biological Sciences--L5010,,Number Retained,0 Days,All,1020
2018SP,Biological Sciences--L5010,,Ftes/Ftef,0 Days,All,19.002889103
2018SP,Biological Sciences--L5010,,Current Fill Rate,0 Days,All,0.967770035
2018SP,Biological Sciences--L5010,,Census Fill Rate,0 Days,All,0.967770035
2018SP,Biological Sciences--L5010,,Census Enrollment,0 Days,All,1111
2018SP,Biological Sciences--L5010,,Number Successful,0 Days,All,916
2018SP,Biological Sciences--L5010,,Ftef,0 Days,All,13.499
2018SP,Biological Sciences--L5010,,Ftes,0 Days,All,256.52
2018SP,Biological Sciences--L5010,,Enrollment Capacity,0 Days,All,1148
2018SP,Biological Sciences--L5010,,Count of Migrated Data,0 Days,All,34
2018SP,Biological Sciences--L5010,,Current Enrollment,0 Days,All,1111
2018SP,Business--L6006,,Wsch/Ftef,0 Days,All,517.370657336
2018SP,Business--L6006,,Success Rate,0 Days,All,0.687306502
2018SP,Business--L6006,,Sec. Count,0 Days,All,43
2018SP,Business--L6006,,Retention Rate,0 Days,All,0.821981424
2018SP,Business--L6006,,Number Retained,0 Days,All,1062.821981424
2018SP,Business--L6006,,Ftes/Ftef,0 Days,All,17.228192952
2018SP,Business--L6006,,Current Fill Rate,0 Days,All,0.806146572
2018SP,Business--L6006,,Census Fill Rate,0 Days,All,0.806146572
2018SP,Business--L6006,,Census Enrollment,0 Days,All,1364
2018SP,Business--L6006,,Number Successful,0 Days,All,888
2018SP,Business--L6006,,Ftef,0 Days,All,8.002
2018SP,Business--L6006,,Ftes,0 Days,All,137.86
2018SP,Business--L6006,,Enrollment Capacity,0 Days,All,1692
2018SP,Business--L6006,,Count of Migrated Data,0 Days,All,43
2018SP,Business--L6006,,Current Enrollment,0 Days,All,1364
2018SP,Business-B6006,,Wsch/Ftef,0 Days,All,545
2018SP,Business-B6006,,Success Rate,0 Days,All,0.725663717
2018SP,Business-B6006,,Sec. Count,0 Days,All,3
2018SP,Business-B6006,,Retention Rate,0 Days,All,0.867256637
2018SP,Business-B6006,,Number Retained,0 Days,All,98
2018SP,Business-B6006,,Ftes/Ftef,0 Days,All,18.166666667
2018SP,Business-B6006,,Current Fill Rate,0 Days,All,0.838461538
2018SP,Business-B6006,,Census Fill Rate,0 Days,All,0.838461538
2018SP,Business-B6006,,Census Enrollment,0 Days,All,109
2018SP,Business-B6006,,Number Successful,0 Days,All,82
2018SP,Business-B6006,,Ftef,0 Days,All,0.6
2018SP,Business-B6006,,Ftes,0 Days,All,10.9
2018SP,Business-B6006,,Enrollment Capacity,0 Days,All,130
2018SP,Business-B6006,,Count of Migrated Data,0 Days,All,3
2018SP,Business-B6006,,Current Enrollment,0 Days,All,109
2018SP,Child Development--B6003,,Wsch/Ftef,0 Days,All,472.5
2018SP,Child Development--B6003,,Success Rate,0 Days,All,0.712121212
2018SP,Child Development--B6003,,Sec. Count,0 Days,All,4
2018SP,Child Development--B6003,,Retention Rate,0 Days,All,0.954545455
2018SP,Child Development--B6003,,Number Retained,0 Days,All,126
2018SP,Child Development--B6003,,Ftes/Ftef,0 Days,All,15.75
2018SP,Child Development--B6003,,Current Fill Rate,0 Days,All,0.777777778
2018SP,Child Development--B6003,,Census Fill Rate,0 Days,All,0.777777778
2018SP,Child Development--B6003,,Census Enrollment,0 Days,All,126
2018SP,Child Development--B6003,,Number Successful,0 Days,All,94
2018SP,Child Development--B6003,,Ftef,0 Days,All,0.8
2018SP,Child Development--B6003,,Ftes,0 Days,All,12.6
2018SP,Child Development--B6003,,Enrollment Capacity,0 Days,All,162
2018SP,Child Development--B6003,,Count of Migrated Data,0 Days,All,4
2018SP,Child Development--B6003,,Current Enrollment,0 Days,All,126
2018SP,Child Development--L6003,,Wsch/Ftef,0 Days,All,482.626766417
2018SP,Child Development--L6003,,Success Rate,0 Days,All,0.676605505
2018SP,Child Development--L6003,,Sec. Count,0 Days,All,29
2018SP,Child Development--L6003,,Retention Rate,0 Days,All,0.797018349
2018SP,Child Development--L6003,,Number Retained,0 Days,All,695
2018SP,Child Development--L6003,,Ftes/Ftef,0 Days,All,16.149625935
2018SP,Child Development--L6003,,Current Fill Rate,0 Days,All,0.743933054
2018SP,Child Development--L6003,,Census Fill Rate,0 Days,All,0.743933054
2018SP,Child Development--L6003,,Census Enrollment,0 Days,All,889
2018SP,Child Development--L6003,,Number Successful,0 Days,All,590
2018SP,Child Development--L6003,,Ftef,0 Days,All,6.015
2018SP,Child Development--L6003,,Ftes,0 Days,All,97.14
2018SP,Child Development--L6003,,Enrollment Capacity,0 Days,All,1195
2018SP,Child Development--L6003,,Count of Migrated Data,0 Days,All,29
2018SP,Child Development--L6003,,Current Enrollment,0 Days,All,889
2018SP,Communication--B5011,,Wsch/Ftef,0 Days,All,447.857142857
2018SP,Communication--B5011,,Success Rate,0 Days,All,0.838095238
2018SP,Communication--B5011,,Sec. Count,0 Days,All,7
2018SP,Communication--B5011,,Retention Rate,0 Days,All,0.895238095
2018SP,Communication--B5011,,Number Retained,0 Days,All,188
2018SP,Communication--B5011,,Ftes/Ftef,0 Days,All,14.9
2018SP,Communication--B5011,,Current Fill Rate,0 Days,All,0.912844037
2018SP,Communication--B5011,,Census Fill Rate,0 Days,All,0.912844037
2018SP,Communication--B5011,,Census Enrollment,0 Days,All,199
2018SP,Communication--B5011,,Number Successful,0 Days,All,176
2018SP,Communication--B5011,,Ftef,0 Days,All,1.4
2018SP,Communication--B5011,,Ftes,0 Days,All,20.86
2018SP,Communication--B5011,,Enrollment Capacity,0 Days,All,218
2018SP,Communication--B5011,,Count of Migrated Data,0 Days,All,7
2018SP,Communication--B5011,,Current Enrollment,0 Days,All,199
2018SP,Communication--L5011,,Wsch/Ftef,0 Days,All,412.715752676
2018SP,Communication--L5011,,Success Rate,0 Days,All,0.788429752
2018SP,Communication--L5011,,Sec. Count,0 Days,All,30
2018SP,Communication--L5011,,Retention Rate,0 Days,All,0.877685950
2018SP,Communication--L5011,,Number Retained,0 Days,All,531
2018SP,Communication--L5011,,Ftes/Ftef,0 Days,All,13.624644964
2018SP,Communication--L5011,,Current Fill Rate,0 Days,All,0.719451372
2018SP,Communication--L5011,,Census Fill Rate,0 Days,All,0.719451372
2018SP,Communication--L5011,,Census Enrollment,0 Days,All,577
2018SP,Communication--L5011,,Number Successful,0 Days,All,477
2018SP,Communication--L5011,,Ftef,0 Days,All,4.577
2018SP,Communication--L5011,,Ftes,0 Days,All,62.36
2018SP,Communication--L5011,,Enrollment Capacity,0 Days,All,802
2018SP,Communication--L5011,,Count of Migrated Data,0 Days,All,30
2018SP,Communication--L5011,,Current Enrollment,0 Days,All,577
2018SP,Computer Science--B6007,,Wsch/Ftef,0 Days,All,476
2018SP,Computer Science--B6007,,Success Rate,0 Days,All,0.736842105
2018SP,Computer Science--B6007,,Sec. Count,0 Days,All,2
2018SP,Computer Science--B6007,,Retention Rate,0 Days,All,0.894736842
2018SP,Computer Science--B6007,,Number Retained,0 Days,All,17
2018SP,Computer Science--B6007,,Ftes/Ftef,0 Days,All,15.86
2018SP,Computer Science--B6007,,Current Fill Rate,0 Days,All,0.746666667
2018SP,Computer Science--B6007,,Census Fill Rate,0 Days,All,0.746666667
2018SP,Computer Science--B6007,,Census Enrollment,0 Days,All,56
2018SP,Computer Science--B6007,,Number Successful,0 Days,All,14
2018SP,Computer Science--B6007,,Ftef,0 Days,All,0.5
2018SP,Computer Science--B6007,,Ftes,0 Days,All,7.93
2018SP,Computer Science--B6007,,Enrollment Capacity,0 Days,All,75
2018SP,Computer Science--B6007,,Count of Migrated Data,0 Days,All,2
2018SP,Computer Science--B6007,,Current Enrollment,0 Days,All,56
2018SP,Computer Science--L6007,,Wsch/Ftef,0 Days,All,522.622345337
2018SP,Computer Science--L6007,,Success Rate,0 Days,All,0.590534979
2018SP,Computer Science--L6007,,Sec. Count,0 Days,All,17
2018SP,Computer Science--L6007,,Retention Rate,0 Days,All,0.726337449
2018SP,Computer Science--L6007,,Number Retained,0 Days,All,353
2018SP,Computer Science--L6007,,Ftes/Ftef,0 Days,All,17.423822715
2018SP,Computer Science--L6007,,Current Fill Rate,0 Days,All,0.757352941
2018SP,Computer Science--L6007,,Census Fill Rate,0 Days,All,0.757352941
2018SP,Computer Science--L6007,,Census Enrollment,0 Days,All,515
2018SP,Computer Science--L6007,,Number Successful,0 Days,All,287
2018SP,Computer Science--L6007,,Ftef,0 Days,All,4.332
2018SP,Computer Science--L6007,,Ftes,0 Days,All,75.48
2018SP,Computer Science--L6007,,Enrollment Capacity,0 Days,All,680
2018SP,Computer Science--L6007,,Count of Migrated Data,0 Days,All,17
2018SP,Computer Science--L6007,,Current Enrollment,0 Days,All,515
2018SP,Counseling--B7001,,Wsch/Ftef,0 Days,All,110
2018SP,Counseling--B7001,,Success Rate,0 Days,All,0.785714286
2018SP,Counseling--B7001,,Sec. Count,0 Days,All,1
2018SP,Counseling--B7001,,Retention Rate,0 Days,All,1
2018SP,Counseling--B7001,,Number Retained,0 Days,All,14
2018SP,Counseling--B7001,,Ftes/Ftef,0 Days,All,3.7
2018SP,Counseling--B7001,,Current Fill Rate,0 Days,All,0.228571429
2018SP,Counseling--B7001,,Census Fill Rate,0 Days,All,0.228571429
2018SP,Counseling--B7001,,Census Enrollment,0 Days,All,8
2018SP,Counseling--B7001,,Number Successful,0 Days,All,11
2018SP,Counseling--B7001,,Ftef,0 Days,All,0.1
2018SP,Counseling--B7001,,Ftes,0 Days,All,0.37
2018SP,Counseling--B7001,,Enrollment Capacity,0 Days,All,35
2018SP,Counseling--B7001,,Count of Migrated Data,0 Days,All,1
2018SP,Counseling--B7001,,Current Enrollment,0 Days,All,8
2018SP,Counseling--L7001,,Wsch/Ftef,0 Days,All,127.479949346
2018SP,Counseling--L7001,,Success Rate,0 Days,All,0.813793103
2018SP,Counseling--L7001,,Sec. Count,0 Days,All,26
2018SP,Counseling--L7001,,Retention Rate,0 Days,All,0.946551724
2018SP,Counseling--L7001,,Number Retained,0 Days,All,549
2018SP,Counseling--L7001,,Ftes/Ftef,0 Days,All,4.204305614
2018SP,Counseling--L7001,,Current Fill Rate,0 Days,All,0.259550562
2018SP,Counseling--L7001,,Census Fill Rate,0 Days,All,0.259550562
2018SP,Counseling--L7001,,Census Enrollment,0 Days,All,231
2018SP,Counseling--L7001,,Number Successful,0 Days,All,472
2018SP,Counseling--L7001,,Ftef,0 Days,All,2.369
2018SP,Counseling--L7001,,Ftes,0 Days,All,9.96
2018SP,Counseling--L7001,,Enrollment Capacity,0 Days,All,890
2018SP,Counseling--L7001,,Count of Migrated Data,0 Days,All,26
2018SP,Counseling--L7001,,Current Enrollment,0 Days,All,231
2018SP,Drama--B5012,,Wsch/Ftef,0 Days,All,605
2018SP,Drama--B5012,,Success Rate,0 Days,All,0.906542056
2018SP,Drama--B5012,,Sec. Count,0 Days,All,3
2018SP,Drama--B5012,,Retention Rate,0 Days,All,0.953271028
2018SP,Drama--B5012,,Number Retained,0 Days,All,102
2018SP,Drama--B5012,,Ftes/Ftef,0 Days,All,20.166666667
2018SP,Drama--B5012,,Current Fill Rate,0 Days,All,0.896296296
2018SP,Drama--B5012,,Census Fill Rate,0 Days,All,0.896296296
2018SP,Drama--B5012,,Census Enrollment,0 Days,All,121
2018SP,Drama--B5012,,Number Successful,0 Days,All,97
2018SP,Drama--B5012,,Ftef,0 Days,All,0.6
2018SP,Drama--B5012,,Ftes,0 Days,All,12.1
2018SP,Drama--B5012,,Enrollment Capacity,0 Days,All,135
2018SP,Drama--B5012,,Count of Migrated Data,0 Days,All,3
2018SP,Drama--B5012,,Current Enrollment,0 Days,All,121
2018SP,Drama--L5012,,Wsch/Ftef,0 Days,All,497.236478484
2018SP,Drama--L5012,,Success Rate,0 Days,All,0.737766625
2018SP,Drama--L5012,,Sec. Count,0 Days,All,21
2018SP,Drama--L5012,,Retention Rate,0 Days,All,0.865746550
2018SP,Drama--L5012,,Number Retained,0 Days,All,690
2018SP,Drama--L5012,,Ftes/Ftef,0 Days,All,15.998815634
2018SP,Drama--L5012,,Current Fill Rate,0 Days,All,0.668686869
2018SP,Drama--L5012,,Census Fill Rate,0 Days,All,0.668686869
2018SP,Drama--L5012,,Census Enrollment,0 Days,All,662
2018SP,Drama--L5012,,Number Successful,0 Days,All,588
2018SP,Drama--L5012,,Ftef,0 Days,All,5.066
2018SP,Drama--L5012,,Ftes,0 Days,All,81.05
2018SP,Drama--L5012,,Enrollment Capacity,0 Days,All,990
2018SP,Drama--L5012,,Count of Migrated Data,0 Days,All,21
2018SP,Drama--L5012,,Current Enrollment,0 Days,All,662
2018SP,English As a Second Language--L5016,,Wsch/Ftef,0 Days,All,270.408163265
2018SP,English As a Second Language--L5016,,Success Rate,0 Days,All,0.770833333
2018SP,English As a Second Language--L5016,,Sec. Count,0 Days,All,9
2018SP,English As a Second Language--L5016,,Retention Rate,0 Days,All,0.890625
2018SP,English As a Second Language--L5016,,Number Retained,0 Days,All,171
2018SP,English As a Second Language--L5016,,Ftes/Ftef,0 Days,All,9.013605442
2018SP,English As a Second Language--L5016,,Current Fill Rate,0 Days,All,0.5
2018SP,English As a Second Language--L5016,,Census Fill Rate,0 Days,All,0.5
2018SP,English As a Second Language--L5016,,Census Enrollment,0 Days,All,159
2018SP,English As a Second Language--L5016,,Number Successful,0 Days,All,148
2018SP,English As a Second Language--L5016,,Ftef,0 Days,All,2.352
2018SP,English As a Second Language--L5016,,Ftes,0 Days,All,21.2
2018SP,English As a Second Language--L5016,,Enrollment Capacity,0 Days,All,318
2018SP,English As a Second Language--L5016,,Count of Migrated Data,0 Days,All,9
2018SP,English As a Second Language--L5016,,Current Enrollment,0 Days,All,159
2018SP,English--B5013,,Wsch/Ftef,0 Days,All,344.716821640
2018SP,English--B5013,,Success Rate,0 Days,All,0.663742690
2018SP,English--B5013,,Sec. Count,0 Days,All,24
2018SP,English--B5013,,Retention Rate,0 Days,All,0.815789474
2018SP,English--B5013,,Number Retained,0 Days,All,558
2018SP,English--B5013,,Ftes/Ftef,0 Days,All,11.486052409
2018SP,English--B5013,,Current Fill Rate,0 Days,All,0.888423989
2018SP,English--B5013,,Census Fill Rate,0 Days,All,0.888423989
2018SP,English--B5013,,Census Enrollment,0 Days,All,637
2018SP,English--B5013,,Number Successful,0 Days,All,454
2018SP,English--B5013,,Ftef,0 Days,All,5.915
2018SP,English--B5013,,Ftes,0 Days,All,67.94
2018SP,English--B5013,,Enrollment Capacity,0 Days,All,717
2018SP,English--B5013,,Count of Migrated Data,0 Days,All,24
2018SP,English--B5013,,Current Enrollment,0 Days,All,637
2018SP,English--L5013,,Wsch/Ftef,0 Days,All,367.263709011
2018SP,English--L5013,,Success Rate,0 Days,All,0.684303351
2018SP,English--L5013,,Sec. Count,0 Days,All,81
2018SP,English--L5013,,Retention Rate,0 Days,All,0.809523810
2018SP,English--L5013,,Number Retained,0 Days,All,1836
2018SP,English--L5013,,Ftes/Ftef,0 Days,All,12.217690824
2018SP,English--L5013,,Current Fill Rate,0 Days,All,0.610345797
2018SP,English--L5013,,Census Fill Rate,0 Days,All,0.610345797
2018SP,English--L5013,,Census Enrollment,0 Days,All,2171
2018SP,English--L5013,,Number Successful,0 Days,All,1552
2018SP,English--L5013,,Ftef,0 Days,All,18.145
2018SP,English--L5013,,Ftes,0 Days,All,221.69
2018SP,English--L5013,,Enrollment Capacity,0 Days,All,3557
2018SP,English--L5013,,Count of Migrated Data,0 Days,All,81
2018SP,English--L5013,,Current Enrollment,0 Days,All,2171
2018SP,Fire Technology--B6002,,Wsch/Ftef,0 Days,All,375
2018SP,Fire Technology--B6002,,Success Rate,0 Days,All,0.802469136
2018SP,Fire Technology--B6002,,Sec. Count,0 Days,All,3
2018SP,Fire Technology--B6002,,Retention Rate,0 Days,All,0.950617284
2018SP,Fire Technology--B6002,,Number Retained,0 Days,All,77
2018SP,Fire Technology--B6002,,Ftes/Ftef,0 Days,All,12.5
2018SP,Fire Technology--B6002,,Current Fill Rate,0 Days,All,0.555555556
2018SP,Fire Technology--B6002,,Census Fill Rate,0 Days,All,0.555555556
2018SP,Fire Technology--B6002,,Census Enrollment,0 Days,All,75
2018SP,Fire Technology--B6002,,Number Successful,0 Days,All,65
2018SP,Fire Technology--B6002,,Ftef,0 Days,All,0.6
2018SP,Fire Technology--B6002,,Ftes,0 Days,All,7.5
2018SP,Fire Technology--B6002,,Enrollment Capacity,0 Days,All,135
2018SP,Fire Technology--B6002,,Count of Migrated Data,0 Days,All,3
2018SP,Fire Technology--B6002,,Current Enrollment,0 Days,All,75
2018SP,Foreign Language--L5017,,Wsch/Ftef,0 Days,All,458.719646799
2018SP,Foreign Language--L5017,,Success Rate,0 Days,All,0.757647059
2018SP,Foreign Language--L5017,,Sec. Count,0 Days,All,15
